signal_feature_alpha,signal_feature_beta,signal_feature_gamma,categorical_tier_rank,signal_feature_delta,system_efficiency_ratio,target_outcome_class
57.451,19.481,2.763,3,127.314,0.652,1
47.926,21.404,1.505,5,105.526,0.742,0
59.715,19.778,1.998,2,111.807,0.765,1
72.845,28.231,2.955,5,139.773,0.849,0
46.488,10.381,2.974,1,52.783,0.61,1
46.488,12.584,3.871,3,121.082,0.915,1
73.688,11.819,2.31,3,163.296,0.99,1
61.512,24.642,2.737,1,98.694,0.661,1
42.958,25.203,1.918,5,72.672,0.473,0
58.138,21.61,2.6,1,98.327,0.476,1
43.049,27.468,2.883,4,64.488,0.65,0
43.014,8.576,2.292,1,116.771,0.623,1
53.629,31.338,0.416,5,107.789,0.721,0
21.301,30.186,2.765,1,119.562,0.791,1
24.126,23.885,2.801,2,106.063,0.54,1
41.566,32.254,1.652,1,115.877,0.696,1
34.808,4.747,0.987,1,123.515,0.649,1
54.714,13.804,4.023,5,74.071,0.99,0
36.38,12.118,2.941,4,120.383,0.527,1
28.815,23.772,2.148,4,153.446,0.614,1
71.985,9.599,1.149,5,81.148,0.725,0
46.613,24.06,1.496,5,119.25,0.615,1
51.013,28.964,3.833,5,148.841,0.879,0
28.629,23.562,2.551,2,75.349,0.577,1
41.834,20.27,1.794,3,133.936,0.592,1
51.664,10.097,2.961,1,103.339,0.891,1
32.735,11.225,1.504,5,140.34,0.553,1
55.635,27.997,4.051,5,85.266,0.837,0
40.99,24.235,3.888,5,109.728,0.657,1
45.625,17.688,1.887,4,64.445,0.633,0
40.974,14.657,1.708,5,123.119,0.649,1
77.784,1.794,0.1,1,123.462,0.563,1
49.798,9.433,0.77,5,126.224,0.847,0
34.134,33.291,0.927,1,124.748,0.739,0
62.338,7.756,2.549,2,107.268,0.845,1
31.687,19.516,2.041,3,65.671,0.885,0
53.133,26.06,0.92,4,139.762,0.796,0
20.605,7.961,2.091,1,108.847,0.517,1
30.077,19.478,2.956,2,121.805,0.584,1
52.953,25.503,2.981,3,104.444,0.839,1
61.077,18.1,0.31,3,168.763,0.728,1
52.571,40.947,2.259,3,92.971,0.811,0
48.265,4.651,0.878,1,91.817,0.708,0
45.483,26.47,3.392,2,63.151,0.66,0
27.822,16.618,3.263,5,113.387,0.811,0
39.202,24.175,1.412,2,165.752,0.478,1
43.09,21.53,1.557,2,113.751,0.675,0
65.857,12.135,1.893,2,116.813,0.729,1
55.154,19.832,0.1,1,139.196,0.749,1
23.554,3.137,2.77,1,114.863,0.539,1
54.861,22.826,2.1,1,145.979,0.545,1
44.224,20.385,3.467,2,150.432,0.665,1
39.846,23.109,1.192,1,92.21,0.711,1
59.175,26.465,1.719,3,67.087,0.938,0
65.465,20.941,0.743,1,130.688,0.597,1
63.969,19.185,1.295,4,119.679,0.651,0
37.412,10.951,1.1,1,78.624,0.943,0
45.362,12.302,3.496,1,89.659,0.869,1
54.969,27.494,1.632,1,89.566,0.564,1
64.633,29.491,2.537,1,114.424,0.815,0
42.812,16.095,1.981,4,139.922,0.837,0
47.215,18.368,1.004,5,141.601,0.747,0
33.405,10.763,2.215,1,133.725,0.556,1
32.057,27.382,3.059,3,101.237,0.637,1
62.188,23.323,1.071,4,176.603,0.632,1
70.344,33.53,3.29,5,110.997,0.794,0
48.92,10.973,1.465,1,98.336,0.66,1
65.053,14.976,1.869,5,69.018,0.683,0
55.425,19.852,2.984,3,99.574,0.636,0
40.323,23.172,1.67,4,123.163,0.502,1
55.421,16.275,2.441,4,62.413,0.99,0
73.071,11.016,2.054,5,81.377,0.776,0
49.463,25.051,2.542,1,95.98,0.926,1
73.47,23.769,0.1,2,86.738,0.564,1
10.704,10.67,0.387,4,84.264,0.933,0
62.329,28.844,3.078,2,143.738,0.664,1
51.306,27.362,3.541,4,60.48,0.794,0
45.515,19.074,1.398,1,115.261,0.859,0
51.376,18.637,2.132,1,125.572,0.932,1
20.186,22.432,2.724,4,95.477,0.714,0
46.705,11.106,3.163,5,103.192,0.579,0
55.357,18.24,0.17,1,108.784,0.718,0
72.168,0.781,1.425,1,129.029,0.803,1
42.226,25.012,2.034,3,155.921,0.645,1
37.873,5.508,3.173,1,71.465,0.661,1
42.474,30.027,5.0,3,82.512,0.503,1
63.731,15.359,2.149,1,84.023,0.583,1
54.931,16.307,0.852,1,109.623,0.782,1
42.054,12.978,2.842,5,98.007,0.843,0
57.699,15.696,3.853,5,129.993,0.874,0
51.456,29.348,2.519,1,90.305,0.99,0
64.53,0.0,1.403,4,83.352,0.928,0
39.469,28.216,3.454,4,87.106,0.699,0
45.085,20.704,3.13,1,113.471,0.589,1
44.118,8.344,1.271,4,138.918,0.684,1
28.047,9.398,2.82,1,108.667,0.643,1
54.442,31.411,3.497,5,93.255,0.743,0
53.916,10.436,3.7,2,79.069,0.845,0
50.077,8.773,2.327,3,153.849,0.787,1
46.481,27.099,2.006,4,57.171,0.941,0
28.769,20.708,3.75,4,104.418,0.775,0
43.69,10.497,1.069,5,132.192,0.541,1
44.859,19.733,2.882,4,104.004,0.64,1
37.966,9.794,0.893,1,93.01,0.776,0
47.581,26.807,3.572,1,126.07,0.752,1
56.061,26.491,2.116,2,77.187,0.903,0
78.293,22.256,3.795,2,57.776,0.721,0
52.619,20.893,2.941,2,120.595,0.695,1
53.863,32.09,1.054,1,80.145,0.5,1
48.883,17.997,3.967,2,113.952,0.607,1
21.218,8.545,4.106,2,106.302,0.763,1
49.602,21.596,3.371,1,117.831,0.749,1
50.903,34.688,1.562,5,103.188,0.803,0
86.949,9.882,2.063,4,126.546,0.783,1
47.115,15.108,2.56,3,88.894,0.704,0
54.523,21.332,1.626,1,133.437,0.58,1
49.479,17.569,4.262,1,73.471,0.72,0
32.47,10.142,2.559,3,145.179,0.714,1
67.142,26.975,0.1,3,171.549,0.912,0
61.279,36.56,2.773,2,113.243,0.906,0
61.865,19.569,2.017,3,157.075,0.653,1
36.359,10.767,2.318,4,164.852,0.633,1
71.042,5.608,1.995,4,100.372,0.53,1
28.972,20.064,3.288,4,111.436,0.697,1
58.803,26.831,3.632,4,85.576,0.654,0
82.857,21.801,2.711,4,87.512,0.99,0
35.142,17.981,2.027,2,116.986,0.564,0
41.506,13.286,2.355,1,60.925,0.728,0
51.495,9.263,2.422,3,135.043,0.63,1
42.448,24.678,1.517,1,115.019,0.723,0
26.74,25.31,3.037,3,130.44,0.673,0
51.028,5.634,2.906,2,104.539,0.834,1
34.065,30.719,4.094,2,130.176,0.782,1
57.104,22.593,3.781,5,117.429,0.829,0
36.209,29.197,1.646,5,125.217,0.615,1
73.249,7.263,3.302,2,137.051,0.871,1
38.251,7.073,1.354,2,72.052,0.653,0
45.169,16.808,3.166,3,88.908,0.523,1
62.203,22.022,1.832,2,179.445,0.695,1
31.537,32.371,1.274,1,116.218,0.736,1
53.412,23.649,2.708,3,58.496,0.545,0
69.607,16.059,0.1,2,58.663,0.842,0
25.888,9.789,0.474,3,107.75,0.606,1
52.77,27.84,2.205,3,94.309,0.6,0
53.898,10.282,2.491,4,85.809,0.72,0
61.727,31.028,1.994,5,163.794,0.84,0
31.446,15.725,0.663,3,98.927,0.55,1
30.193,30.725,1.5,3,134.629,0.852,0
57.829,23.431,2.83,4,117.504,0.418,1
54.455,16.904,3.04,2,101.153,0.766,0
53.757,13.845,2.382,3,75.748,0.562,1
55.197,15.273,3.673,4,133.077,0.608,1
39.8,21.427,2.837,1,39.669,0.963,0
53.484,18.617,1.578,4,136.12,0.582,1
54.396,13.25,2.091,5,114.539,0.712,0
39.285,16.675,0.857,5,128.557,0.571,0
77.987,18.629,2.281,2,110.233,0.828,0
57.107,0.97,3.623,2,72.97,0.777,1
32.13,21.665,3.154,5,122.046,0.797,0
59.848,10.162,3.942,5,135.467,0.878,1
35.38,8.773,2.067,3,95.626,0.673,0
61.806,4.501,3.881,5,129.722,0.87,1
67.379,3.649,2.187,2,118.897,0.929,1
37.69,7.156,4.019,5,123.517,0.76,1
64.451,12.328,2.376,2,84.214,0.565,1
56.192,33.626,3.178,1,148.465,0.551,1
62.331,13.793,4.023,5,118.881,0.782,0
78.452,19.422,2.187,2,134.951,0.565,1
46.319,21.204,2.64,4,98.356,0.532,0
38.694,19.049,3.818,3,139.469,0.844,0
36.657,17.38,2.254,2,97.342,0.656,1
37.763,8.438,0.947,5,83.247,0.99,0
48.843,29.607,4.757,5,163.155,0.628,1
55.117,32.458,1.883,1,38.82,0.65,0
54.15,4.539,2.575,4,199.697,0.77,1
62.408,9.808,3.672,2,131.052,0.749,1
50.195,15.762,1.731,4,100.556,0.708,0
71.803,10.284,1.291,1,119.782,0.705,1
46.03,22.048,2.679,3,131.07,0.99,0
90.803,12.174,0.428,4,100.026,0.953,0
59.385,35.32,2.083,1,171.057,0.838,1
37.143,27.524,2.67,2,154.267,0.548,1
33.937,19.701,2.103,3,191.805,0.71,1
57.237,26.216,0.702,5,73.357,0.812,0
46.648,26.847,4.154,1,116.459,0.825,1
60.71,13.488,2.514,5,68.39,0.899,0
57.099,11.47,3.974,3,77.256,0.63,1
48.908,18.625,2.114,1,100.212,0.715,1
37.298,24.893,1.432,1,100.755,0.614,1
27.277,19.112,2.696,3,121.097,0.907,0
43.302,5.384,2.163,2,106.68,0.818,0
62.846,11.577,1.104,1,133.999,0.649,1
53.211,17.408,4.017,3,119.567,0.751,1
31.314,17.395,1.716,4,159.426,0.727,0
52.598,33.78,0.376,5,134.864,0.597,1
55.78,6.912,3.861,1,74.631,0.85,1
36.742,22.045,1.845,4,105.635,0.731,0
52.306,29.913,1.731,1,107.66,0.646,1
50.873,36.172,0.458,2,123.197,0.594,1
32.855,14.765,4.315,3,142.258,0.84,1
55.367,21.931,0.982,1,118.478,0.758,1
58.412,22.558,2.464,3,127.345,0.623,1
66.246,19.564,3.404,1,75.973,0.65,0
65.807,17.209,2.864,2,96.224,0.721,0
29.335,21.488,2.334,2,52.636,0.729,0
35.933,0.0,0.528,4,123.258,0.747,0
57.726,23.457,1.509,2,135.245,0.472,1
57.707,19.009,2.607,3,70.43,0.737,0
57.726,16.22,1.534,2,114.753,0.549,1
100.0,34.375,2.624,1,106.932,0.919,1
58.563,12.601,3.15,2,160.653,0.866,1
67.033,14.775,3.459,3,83.169,0.882,0
64.31,33.932,1.051,1,137.545,0.376,1
59.771,11.344,4.816,4,144.292,0.678,1
45.271,13.599,3.244,4,104.151,0.709,0
61.385,16.824,2.398,4,118.775,0.8,0
38.408,24.726,3.598,1,142.324,0.846,1
46.448,19.662,5.0,4,77.015,0.9,0
42.72,7.659,0.817,2,97.185,0.396,1
51.228,13.743,2.152,1,115.587,0.608,1
84.72,13.141,0.1,1,171.921,0.728,1
21.991,17.382,2.612,1,98.007,0.836,0
60.294,21.407,2.802,5,101.94,0.832,0
25.809,21.346,2.357,3,156.413,0.786,0
42.921,3.792,1.68,5,129.889,0.631,0
66.334,26.512,0.146,5,175.476,0.649,0
50.964,20.021,2.811,5,142.797,0.632,1
33.834,29.076,4.001,3,105.62,0.583,1
39.27,21.554,1.75,5,101.352,0.581,0
60.194,26.811,2.884,4,85.262,0.567,1
39.045,21.732,0.675,1,70.849,0.767,0
53.247,28.77,2.903,1,120.224,0.737,1
50.684,22.178,1.967,2,128.808,0.59,1
40.226,17.217,1.561,4,132.422,0.48,1
82.159,36.179,1.564,3,106.296,0.668,0
59.509,25.112,1.967,1,167.903,0.927,1
19.623,22.59,2.821,5,69.247,0.721,0
52.797,7.79,0.957,2,65.85,0.832,0
40.073,7.694,1.963,2,85.411,0.745,0
62.787,20.342,2.354,1,110.179,0.712,1
38.112,19.164,1.191,4,77.087,0.514,0
48.279,13.087,4.376,2,150.408,0.663,1
57.575,19.128,1.461,1,87.831,0.645,1
62.986,30.709,1.664,4,82.474,0.927,0
31.996,23.563,1.324,1,141.652,0.746,1
44.982,8.872,4.378,1,116.223,0.899,1
42.876,17.108,3.008,4,133.541,0.878,0
40.2,11.56,1.37,4,108.572,0.602,1
76.482,14.898,3.617,4,118.153,0.72,1
56.075,14.691,2.621,1,66.994,0.956,0
31.087,14.179,2.683,2,105.565,0.799,0
63.768,7.959,2.021,3,78.558,0.79,0
81.832,16.979,1.576,3,168.632,0.848,0
65.487,13.515,2.772,1,148.785,0.787,1
27.209,0.0,1.8,1,90.382,0.796,1
42.736,34.424,4.398,2,103.773,0.762,0
69.004,26.71,1.004,4,105.187,0.672,0
39.385,14.99,4.09,1,174.619,0.572,1
56.657,18.151,2.278,5,121.892,0.46,1
61.62,8.627,2.729,4,97.164,0.674,1
36.096,31.566,3.316,1,114.401,0.781,1
49.107,33.178,1.707,5,63.89,0.753,0
10.0,19.254,3.351,2,107.79,0.809,0
34.634,26.188,0.1,5,77.573,0.702,0
46.211,19.402,1.608,1,54.57,0.99,0
31.283,7.306,1.384,3,169.597,0.99,0
74.486,14.705,1.021,1,109.19,0.508,1
28.548,19.055,2.164,3,86.852,0.812,0
43.399,14.364,2.824,2,59.085,0.856,0
51.961,16.251,3.173,2,103.367,0.423,1
71.619,17.269,2.665,4,105.525,0.743,1
28.462,17.353,1.668,4,132.952,0.792,1
67.447,18.418,2.806,3,81.385,0.719,0
50.153,9.515,2.537,3,93.987,0.774,0
35.277,12.264,3.43,2,82.262,0.731,1
56.932,7.723,3.255,5,103.459,0.818,0
52.986,25.823,2.434,3,50.21,0.937,0
40.997,1.155,1.413,3,85.874,0.828,0
51.047,27.229,1.682,5,128.891,0.885,0
44.22,29.091,1.795,4,73.237,0.572,0
51.703,15.583,2.053,4,139.985,0.99,0
59.932,0.0,2.695,3,136.201,0.764,1
73.79,15.11,3.187,4,138.711,0.665,1
31.433,17.487,2.344,4,109.864,0.778,1
81.996,9.915,2.418,4,107.168,0.644,1
20.719,13.878,2.558,2,119.588,0.739,1
47.723,30.242,1.833,1,149.608,0.762,1
58.825,23.319,1.382,3,146.878,0.624,1
54.215,10.603,0.469,3,60.133,0.742,0
40.66,5.219,1.635,2,83.771,0.622,0
46.878,15.384,2.92,1,78.382,0.621,1
42.605,16.292,1.627,1,131.803,0.578,1
41.16,21.97,2.138,2,89.621,0.668,0
62.744,13.717,2.913,5,103.898,0.643,1
55.355,22.092,2.973,5,161.238,0.786,1
39.606,33.481,1.213,1,143.626,0.873,0
63.494,24.524,3.497,5,151.286,0.813,1
54.609,17.615,3.64,5,88.491,0.856,0
62.193,16.535,1.157,5,26.857,0.844,0
59.444,15.147,1.494,1,98.134,0.59,1
37.565,27.445,3.71,5,66.802,0.673,0
41.597,12.981,2.238,3,51.679,0.969,0
61.209,18.362,0.1,1,143.86,0.644,1
59.156,18.41,0.86,2,83.245,0.98,0
49.686,13.986,2.126,5,85.803,0.662,0
51.76,7.02,1.121,4,99.027,0.433,1
69.165,20.584,1.945,1,159.395,0.685,1
41.126,17.512,2.436,2,105.152,0.839,0
58.206,22.002,4.008,3,138.548,0.953,0
